starting_state,Goal_A,Goal_H,Z:0_P:Away,Z:0_P:Home,Z:1_P:Away,Z:1_P:Home,Z:2_P:Away,Z:2_P:Home,Z:3_P:Away,Z:3_P:Home,Z:4_P:Away,Z:4_P:Home
Z:0_P:Away,0.0003771385469880344,0.0,0.13354133095621765,0.01254842801796551,0.07251345698906299,0.0082627627112833,0.013542702369115782,0.016456954777659683,0.005039942400658278,0.013748414303836528,0.0001371412898138307,0.0007885624164295265
Z:0_P:Home,0.0,0.00011895321173671689,0.01062648691514671,0.12803330689928627,0.007771609833465504,0.07862807295796986,0.014908802537668518,0.012291831879460745,0.013084853291038858,0.005154639175257732,0.0009912767644726407,0.00019825535289452815
Z:1_P:Away,0.0,0.0,0.06481256578414703,0.01548457614768035,0.14013035381750466,0.01054570480123067,0.053720346530645294,0.013885515342887216,0.00558659217877095,0.011031495425471622,0.0006274795563112298,0.002024127601003967
Z:1_P:Home,0.0,0.0,0.013230750088135875,0.06242093693618963,0.010845897015822982,0.13886066236701852,0.013562555732979407,0.057029095207482214,0.00949793658364613,0.006034715165591754,0.0023641152195101717,0.0007673005537006698
Z:2_P:Away,0.0,0.0,0.030989974428704794,0.012481227422169908,0.04103584040264643,0.0005682510045865974,0.15147948207979867,0.012257985956082315,0.05680480577992451,0.01645898445427609,0.0028006656654625157,0.005033080326338434
Z:2_P:Home,0.0,0.0,0.012114989733059548,0.028206085495613216,0.0007093522493933172,0.0397610602949412,0.011032294194511854,0.15542281127496732,0.015008400224005973,0.05962292327795408,0.004218779167444465,0.003360089602389397
Z:3_P:Away,0.0005243380232456523,0.0,0.05467680386844941,0.026275160942643247,0.0013108450581141308,2.912989018031402e-05,0.050394710011943254,0.0010778059366716188,0.17294415800052435,0.028518162486527426,0.03020769611698564,0.02231349587812054
Z:3_P:Home,0.0,0.0004317685720453837,0.02245196574635995,0.04950946292787066,0.0,0.000935498572764998,0.0008635371440907674,0.05063685864376694,0.025546307179351867,0.1817265945453237,0.02216412003166303,0.03202283576003262
Z:4_P:Away,0.010529891304347826,0.0,0.11798007246376811,0.05446105072463768,0.0,0.0,0.000792572463768116,0.0,0.057065217391304345,0.004981884057971014,0.08378623188405797,0.11854619565217392
Z:4_P:Home,0.0,0.012183104900116455,0.05025530771298038,0.12550389680193497,0.0,0.0,0.0,0.0005374899220639613,0.0047478276448983244,0.05652602347039326,0.12174146734748724,0.09020872525306817
